	MapID	Code	location	name_long	continent	economy	income_grp	index	date	new_cases	new_deaths	total_cases	total_deaths	Catog
42	136	CYM	Cayman Islands	Cayman Islands	North America	5. Emerging region: G20	2. High income: nonOECD	2768.0	2020-05-06	0.0	0.0	75.0	1.0	50.0
43	140	CAF	Central African Republic	Central African Republic	Africa	7. Least developed region	5. Low income	2820.0	2020-05-06	0.0	0.0	94.0	0.0	50.0
44	148	TCD	Chad	Chad	Africa	7. Least developed region	5. Low income	2868.0	2020-05-06	53.0	7.0	170.0	17.0	50.0
45	152	CHL	Chile	Chile	South America	5. Emerging region: G20	3. Upper middle income	2931.0	2020-05-06	1373.0	5.0	22016.0	275.0	500.0
46	156	CHN	China	China	Asia	3. Emerging region: BRIC	3. Upper middle income	3059.0	2020-05-06	2.0	0.0	83968.0	4637.0	5000.0
47	170	COL	Colombia	Colombia	South America	6. Developing region	3. Upper middle income	3116.0	2020-05-06	640.0	20.0	8613.0	378.0	500.0
48	174	COM	Comoros	Comoros	Africa	7. Least developed region	5. Low income	3121.0	2020-05-06	0.0	0.0	4.0	1.0	50.0
49	178	COG	Congo	Republic of Congo	Africa	6. Developing region	4. Lower middle income	3173.0	2020-05-06	0.0	0.0	236.0	10.0	50.0
50	184	COK	Cook Is.	Cook Islands	Oceania	6. Developing region	3. Upper middle income							nan
51	188	CRI	Costa Rica	Costa Rica	North America	5. Emerging region: G20	3. Upper middle income	3233.0	2020-05-06	13.0	0.0	755.0	6.0	50.0
52	191	HRV	Croatia	Croatia	Europe	2. Developed region: nonG7	2. High income: nonOECD	3412.0	2020-05-06	11.0	3.0	2112.0	83.0	100.0
53	192	CUB	Cuba	Cuba	North America	5. Emerging region: G20	3. Upper middle income	3465.0	2020-05-06	17.0	0.0	1685.0	69.0	100.0
54	531	CUW	Curacao	Curaçao	North America	6. Developing region	2. High income: nonOECD	3509.0	2020-05-06	0.0	0.0	16.0	1.0	50.0
55	196	CYP	Cyprus	Cyprus	Asia	6. Developing region	2. High income: nonOECD	3565.0	2020-05-06	4.0	0.0	878.0	20.0	50.0
56	203	CZE	Czech Republic	Czech Republic	Europe	2. Developed region: nonG7	1. High income: OECD	3693.0	2020-05-06	77.0	5.0	7896.0	257.0	500.0
57	180	COD	Democratic Republic of Congo	Democratic Republic of the Congo	Africa	7. Least developed region	5. Low income	3748.0	2020-05-06	21.0	0.0	705.0	34.0	50.0
58	408	PRK	Dem. Rep. Korea	Dem. Rep. Korea	Asia	7. Least developed region	5. Low income							nan
59	208	DNK	Denmark	Denmark	Europe	2. Developed region: nonG7	1. High income: OECD	3876.0	2020-05-06	151.0	10.0	9821.0	503.0	1000.0
60	262	DJI	Djibouti	Djibouti	Africa	7. Least developed region	4. Lower middle income	3925.0	2020-05-06	4.0	0.0	1120.0	2.0	50.0
61	212	DMA	Dominica	Dominica	North America	6. Developing region	3. Upper middle income	3970.0	2020-05-06	0.0	0.0	16.0	0.0	50.0
62	214	DOM	Dominican Republic	Dominican Republic	North America	6. Developing region	3. Upper middle income	4089.0	2020-05-06	245.0	8.0	8480.0	354.0	500.0
63	218	ECU	Ecuador	Ecuador	South America	6. Developing region	3. Upper middle income	4212.0	2020-05-06	0.0	0.0	31881.0	1569.0	5000.0
64	818	EGY	Egypt	Egypt	Africa	5. Emerging region: G20	4. Lower middle income	4336.0	2020-05-06	388.0	16.0	7201.0	452.0	500.0
65	222	SLV	El Salvador	El Salvador	North America	6. Developing region	4. Lower middle income	4385.0	2020-05-06	0.0	1.0	587.0	14.0	50.0
66	226	GNQ	Equatorial Guinea	Equatorial Guinea	Africa	7. Least developed region	2. High income: nonOECD	4438.0	2020-05-06	124.0	2.0	439.0	4.0	50.0
67	232	ERI	Eritrea	Eritrea	Africa	7. Least developed region	5. Low income	4484.0	2020-05-06	0.0	0.0	39.0	0.0	50.0
68	233	EST	Estonia	Estonia	Europe	2. Developed region: nonG7	1. High income: OECD	4607.0	2020-05-06	8.0	0.0	1711.0	55.0	100.0
69	231	ETH	Ethiopia	Ethiopia	Africa	7. Least developed region	5. Low income	4661.0	2020-05-06	5.0	1.0	145.0	4.0	50.0
70	234	FRO	Faeroe Islands	Faeroe Islands	Europe	2. Developed region: nonG7	2. High income: nonOECD	4709.0	2020-05-06	0.0	0.0	187.0	0.0	50.0
71	238	FLK	Falkland Islands	Falkland Islands	South America	2. Developed region: nonG7	1. High income: OECD	4742.0	2020-05-06	0.0	0.0	13.0	0.0	50.0
72	242	FJI	Fiji	Fiji	Oceania	6. Developing region	4. Lower middle income	4790.0	2020-05-06	0.0	0.0	18.0	0.0	50.0
73	246	FIN	Finland	Finland	Europe	2. Developed region: nonG7	1. High income: OECD	4914.0	2020-05-06	85.0	6.0	5412.0	246.0	500.0
74	258	PYF	French Polynesia	French Polynesia	Oceania	6. Developing region	2. High income: nonOECD	5091.0	2020-05-06	2.0	0.0	60.0	0.0	50.0
75	260	ATF	Fr. S. Antarctic Lands	French Southern and Antarctic Lands	Seven seas (open ocean)	6. Developing region	2. High income: nonOECD							nan
76	250	FRA	France	France	Europe	1. Developed region: G7	1. High income: OECD	5042.0	2020-05-06	1104.0	330.0	132967.0	25531.0	30000.0
77	266	GAB	Gabon	Gabon	Africa	6. Developing region	3. Upper middle income	5145.0	2020-05-06	30.0	0.0	397.0	6.0	50.0
78	270	GMB	Gambia	The Gambia	Africa	7. Least developed region	5. Low income	5195.0	2020-05-06	0.0	0.0	17.0	1.0	50.0
79	268	GEO	Georgia	Georgia	Asia	6. Developing region	4. Lower middle income	5320.0	2020-05-06	11.0	0.0	604.0	9.0	50.0
80	276	DEU	Germany	Germany	Europe	1. Developed region: G7	1. High income: OECD	5448.0	2020-05-06	1037.0	165.0	164897.0	6996.0	10000.0
81	288	GHA	Ghana	Ghana	Africa	6. Developing region	4. Lower middle income	5502.0	2020-05-06	0.0	0.0	2719.0	18.0	50.0
82	300	GRC	Greece	Greece	Europe	2. Developed region: nonG7	1. High income: OECD	5676.0	2020-05-06	10.0	0.0	2642.0	146.0	500.0
83	304	GRL	Greenland	Greenland	North America	2. Developed region: nonG7	2. High income: nonOECD	5724.0	2020-05-06	0.0	0.0	11.0	0.0	50.0
84	308	GRD	Grenada	Grenada	North America	6. Developing region	3. Upper middle income	5769.0	2020-05-06	0.0	0.0	21.0	0.0	50.0
85	316	GUM	Guam	Guam	Oceania	6. Developing region	2. High income: nonOECD	5818.0	2020-05-06	0.0	0.0	149.0	5.0	50.0
86	320	GTM	Guatemala	Guatemala	North America	6. Developing region	4. Lower middle income	5871.0	2020-05-06	33.0	0.0	763.0	19.0	50.0
87	831	GGY	Guernsey	Guernsey	Europe	2. Developed region: nonG7	2. High income: nonOECD	5919.0	2020-05-06	0.0	0.0	252.0	13.0	50.0
88	324	GIN	Guinea	Guinea	Africa	7. Least developed region	5. Low income	5972.0	2020-05-06	101.0	1.0	1811.0	10.0	50.0
89	624	GNB	Guinea-Bissau	Guinea-Bissau	Africa	7. Least developed region	5. Low income	6013.0	2020-05-06	62.0	0.0	475.0	2.0	50.0
90	328	GUY	Guyana	Guyana	South America	6. Developing region	4. Lower middle income	6066.0	2020-05-06	1.0	1.0	93.0	10.0	50.0
91	332	HTI	Haiti	Haiti	North America	7. Least developed region	5. Low income	6114.0	2020-05-06	1.0	1.0	101.0	12.0	50.0
92	334	HMD	Heard I. and McDonald Is.	Heard I. and McDonald Islands	Seven seas (open ocean)	7. Least developed region	5. Low income							nan
93	340	HND	Honduras	Honduras	North America	6. Developing region	4. Lower middle income	6168.0	2020-05-06	92.0	11.0	1270.0	93.0	100.0
94	344	HKG	Hong Kong	Hong Kong	Asia	6. Developing region	2. High income: nonOECD							nan
95	348	HUN	Hungary	Hungary	Europe	2. Developed region: nonG7	1. High income: OECD	6230.0	2020-05-06	46.0	10.0	3111.0	373.0	500.0
96	352	ISL	Iceland	Iceland	Europe	2. Developed region: nonG7	1. High income: OECD	6358.0	2020-05-06	0.0	0.0	1799.0	10.0	50.0
97	356	IND	India	India	Asia	3. Emerging region: BRIC	4. Lower middle income	6485.0	2020-05-06	2958.0	126.0	49391.0	1694.0	5000.0
98	-99	IOA	Indian Ocean Territories	Indian Ocean Territories	Asia	2. Developed region: nonG7	2. High income: nonOECD							nan
99	360	IDN	Indonesia	Indonesia	Asia	4. Emerging region: MIKT	4. Lower middle income	6606.0	2020-05-06	484.0	8.0	12071.0	872.0	1000.0
100	364	IRN	Iran	Iran	Asia	5. Emerging region: G20	3. Upper middle income	6798.0	2020-05-06	1323.0	63.0	99970.0	6340.0	10000.0
101	368	IRQ	Iraq	Iraq	Asia	6. Developing region	4. Lower middle income	6924.0	2020-05-06	85.0	4.0	2431.0	102.0	500.0
102	372	IRL	Ireland	Ireland	Europe	2. Developed region: nonG7	1. High income: OECD	7050.0	2020-05-06	261.0	20.0	21983.0	1339.0	5000.0
103	833	IMN	Isle of Man	Isle of Man	Europe	2. Developed region: nonG7	2. High income: nonOECD	7097.0	2020-05-06	1.0	0.0	326.0	23.0	50.0
104	376	ISR	Israel	Israel	Asia	2. Developed region: nonG7	1. High income: OECD	7222.0	2020-05-06	43.0	3.0	16289.0	238.0	500.0
105	380	ITA	Italy	Italy	Europe	1. Developed region: G7	1. High income: OECD	7350.0	2020-05-06	1075.0	236.0	213013.0	29315.0	30000.0
106	388	JAM	Jamaica	Jamaica	North America	6. Developing region	3. Upper middle income	7405.0	2020-05-06	2.0	0.0	473.0	9.0	50.0
107	392	JPN	Japan	Japan	Asia	1. Developed region: G7	1. High income: OECD	7533.0	2020-05-06	123.0	22.0	15354.0	543.0	1000.0
108	832	JEY	Jersey	Jersey	Europe	2. Developed region: nonG7	2. High income: nonOECD	7581.0	2020-05-06	0.0	0.0	293.0	24.0	50.0
109	400	JOR	Jordan	Jordan	Asia	6. Developing region	3. Upper middle income	7636.0	2020-05-06	6.0	0.0	471.0	9.0	50.0
110	398	KAZ	Kazakhstan	Kazakhstan	Asia	6. Developing region	3. Upper middle income	7689.0	2020-05-06	156.0	0.0	4277.0	29.0	50.0
111	404	KEN	Kenya	Kenya	Africa	5. Emerging region: G20	5. Low income	7743.0	2020-05-06	45.0	0.0	535.0	24.0	50.0
112	296	KIR	Kiribati	Kiribati	Oceania	7. Least developed region	4. Lower middle income							nan
113	410	KOR	South Korea	Republic of Korea	Asia	4. Emerging region: MIKT	1. High income: OECD	12943.0	2020-05-06	2.0	1.0	10806.0	255.0	500.0
114	-99	KOS	Kosovo	Kosovo	Europe	6. Developing region	4. Lower middle income	7795.0	2020-05-06	1.0	0.0	856.0	26.0	50.0
115	414	KWT	Kuwait	Kuwait	Asia	6. Developing region	2. High income: nonOECD	7920.0	2020-05-06	526.0	0.0	5804.0	40.0	50.0
116	417	KGZ	Kyrgyzstan	Kyrgyzstan	Asia	6. Developing region	5. Low income	7969.0	2020-05-06	28.0	1.0	871.0	12.0	50.0
117	418	LAO	Laos	Lao PDR	Asia	7. Least developed region	4. Lower middle income	8012.0	2020-05-06	0.0	0.0	19.0	0.0	50.0
118	428	LVA	Latvia	Latvia	Europe	2. Developed region: nonG7	3. Upper middle income	8073.0	2020-05-06	0.0	1.0	896.0	17.0	50.0
119	422	LBN	Lebanon	Lebanon	Asia	6. Developing region	3. Upper middle income	8197.0	2020-05-06	1.0	0.0	741.0	25.0	50.0
120	426	LSO	Lesotho	Lesotho	Africa	7. Least developed region	4. Lower middle income							nan
121	430	LBR	Liberia	Liberia	Africa	7. Least developed region	5. Low income	8248.0	2020-05-06	4.0	2.0	170.0	20.0	50.0
122	434	LBY	Libya	Libya	Africa	6. Developing region	3. Upper middle income	8291.0	2020-05-06	0.0	0.0	63.0	3.0	50.0
123	438	LIE	Liechtenstein	Liechtenstein	Europe	2. Developed region: nonG7	2. High income: nonOECD	8348.0	2020-05-06	0.0	0.0	83.0	1.0	50.0
124	440	LTU	Lithuania	Lithuania	Europe	2. Developed region: nonG7	3. Upper middle income	8467.0	2020-05-06	4.0	0.0	1423.0	46.0	50.0
125	442	LUX	Luxembourg	Luxembourg	Europe	2. Developed region: nonG7	1. High income: OECD	8588.0	2020-05-06	12.0	0.0	3840.0	96.0	100.0
126	446	MAC	Macao	Macao	Asia	6. Developing region	2. High income: nonOECD							nan
127	807	MKD	Macedonia	Macedonia	Europe	6. Developing region	3. Upper middle income	8707.0	2020-05-06	8.0	1.0	1526.0	86.0	100.0
128	450	MDG	Madagascar	Madagascar	Africa	7. Least developed region	5. Low income	8754.0	2020-05-06	19.0	0.0	168.0	0.0	50.0
129	454	MWI	Malawi	Malawi	Africa	7. Least developed region	5. Low income	8788.0	2020-05-06	0.0	0.0	41.0	3.0	50.0
130	458	MYS	Malaysia	Malaysia	Asia	6. Developing region	3. Upper middle income	8915.0	2020-05-06	30.0	1.0	6383.0	106.0	500.0
131	462	MDV	Maldives	Maldives	Seven seas (open ocean)	6. Developing region	3. Upper middle income	8973.0	2020-05-06	22.0	0.0	573.0	1.0	50.0
132	466	MLI	Mali	Mali	Africa	7. Least developed region	5. Low income	9015.0	2020-05-06	32.0	3.0	612.0	32.0	50.0
133	470	MLT	Malta	Malta	Europe	2. Developed region: nonG7	2. High income: nonOECD	9073.0	2020-05-06	2.0	1.0	482.0	5.0	50.0
134	584	MHL	Marshall Is.	Marshall Islands	Oceania	6. Developing region	4. Lower middle income							nan
135	478	MRT	Mauritania	Mauritania	Africa	7. Least developed region	5. Low income	9126.0	2020-05-06	0.0	0.0	8.0	1.0	50.0
136	480	MUS	Mauritius	Mauritius	Seven seas (open ocean)	6. Developing region	3. Upper middle income	9174.0	2020-05-06	0.0	0.0	332.0	10.0	50.0
137	484	MEX	Mexico	Mexico	North America	4. Emerging region: MIKT	3. Upper middle income	9294.0	2020-05-06	1120.0	236.0	26025.0	2507.0	5000.0
138	583	FSM	Micronesia	Federated States of Micronesia	Oceania	6. Developing region	4. Lower middle income							nan
139	498	MDA	Moldova	Moldova	Europe	6. Developing region	4. Lower middle income	9352.0	2020-05-06	115.0	4.0	4363.0	136.0	500.0
140	492	MCO	Monaco	Monaco	Europe	2. Developed region: nonG7	2. High income: nonOECD	9468.0	2020-05-06	0.0	0.0	95.0	4.0	50.0
141	496	MNG	Mongolia	Mongolia	Asia	6. Developing region	4. Lower middle income	9520.0	2020-05-06	0.0	0.0	41.0	0.0	50.0
142	499	MNE	Montenegro	Montenegro	Europe	6. Developing region	3. Upper middle income	9570.0	2020-05-06	1.0	0.0	324.0	8.0	50.0
143	500	MSR	Montserrat	Montserrat	North America	6. Developing region	4. Lower middle income	9616.0	2020-05-06	0.0	0.0	11.0	1.0	50.0
144	504	MAR	Morocco	Morocco	Africa	6. Developing region	4. Lower middle income	9674.0	2020-05-06	176.0	12.0	5219.0	191.0	500.0
145	508	MOZ	Mozambique	Mozambique	Africa	7. Least developed region	5. Low income	9719.0	2020-05-06	1.0	0.0	81.0	0.0	50.0
146	104	MMR	Myanmar	Myanmar	Asia	7. Least developed region	5. Low income	9764.0	2020-05-06	0.0	0.0	161.0	6.0	50.0
147	-99	CYN	Northern Cyprus	Northern Cyprus	Asia	6. Developing region	3. Upper middle income							nan
148	580	MNP	Northern Mariana Islands	Northern Mariana Islands	Oceania	6. Developing region	2. High income: nonOECD	10476.0	2020-05-06	0.0	0.0	14.0	2.0	50.0
149	516	NAM	Namibia	Namibia	Africa	6. Developing region	3. Upper middle income	9817.0	2020-05-06	0.0	0.0	16.0	0.0	50.0
150	520	NRU	Nauru	Nauru	Oceania	6. Developing region	4. Lower middle income							nan
151	524	NPL	Nepal	Nepal	Asia	7. Least developed region	5. Low income	9932.0	2020-05-06	0.0	0.0	82.0	0.0	50.0
152	528	NLD	Netherlands	Netherlands	Europe	2. Developed region: nonG7	1. High income: OECD	10060.0	2020-05-06	317.0	86.0	41087.0	5168.0	10000.0
153	540	NCL	New Caledonia	New Caledonia	Oceania	6. Developing region	2. High income: nonOECD	10107.0	2020-05-06	0.0	0.0	18.0	0.0	50.0
154	554	NZL	New Zealand	New Zealand	Oceania	2. Developed region: nonG7	1. High income: OECD	10226.0	2020-05-06	1.0	1.0	1138.0	21.0	50.0
155	558	NIC	Nicaragua	Nicaragua	North America	6. Developing region	4. Lower middle income	10275.0	2020-05-06	1.0	0.0	16.0	5.0	50.0
156	562	NER	Niger	Niger	Africa	7. Least developed region	5. Low income	10322.0	2020-05-06	8.0	1.0	763.0	38.0	50.0
157	566	NGA	Nigeria	Nigeria	Africa	5. Emerging region: G20	4. Lower middle income	10439.0	2020-05-06	148.0	5.0	2950.0	98.0	100.0
158	570	NIU	Niue	Niue	Oceania	6. Developing region	3. Upper middle income							nan
159	574	NFK	Norfolk Island	Norfolk Island	Oceania	6. Developing region	4. Lower middle income							nan
160	578	NOR	Norway	Norway	Europe	2. Developed region: nonG7	1. High income: OECD	10604.0	2020-05-06	56.0	1.0	7903.0	209.0	500.0
161	512	OMN	Oman	Oman	Asia	6. Developing region	2. High income: nonOECD	10726.0	2020-05-06	98.0	0.0	2735.0	12.0	50.0
162	586	PAK	Pakistan	Pakistan	Asia	5. Emerging region: G20	4. Lower middle income	10849.0	2020-05-06	1049.0	40.0	22550.0	526.0	1000.0
163	585	PLW	Palau	Palau	Oceania	6. Developing region	3. Upper middle income							nan
164	275	PSX	Palestine	Palestine	Asia	6. Developing region	4. Lower middle income	10908.0	2020-05-06	14.0	0.0	538.0	4.0	50.0
165	591	PAN	Panama	Panama	North America	6. Developing region	3. Upper middle income	10966.0	2020-05-06	136.0	7.0	7523.0	210.0	500.0
166	598	PNG	Papua New Guinea	Papua New Guinea	Oceania	6. Developing region	4. Lower middle income	11013.0	2020-05-06	0.0	0.0	8.0	0.0	50.0
167	600	PRY	Paraguay	Paraguay	South America	5. Emerging region: G20	4. Lower middle income	11069.0	2020-05-06	16.0	0.0	431.0	10.0	50.0
168	604	PER	Peru	Peru	South America	5. Emerging region: G20	3. Upper middle income	11129.0	2020-05-06	3817.0	100.0	51189.0	1444.0	5000.0
169	608	PHL	Philippines	Philippines	Asia	5. Emerging region: G20	4. Lower middle income	11253.0	2020-05-06	199.0	14.0	9684.0	637.0	1000.0
170	612	PCN	Pitcairn Is.	Pitcairn Islands	Oceania	7. Least developed region	5. Low income							nan
171	616	POL	Poland	Poland	Europe	2. Developed region: nonG7	1. High income: OECD	11315.0	2020-05-06	425.0	18.0	14431.0	716.0	1000.0
172	620	PRT	Portugal	Portugal	Europe	2. Developed region: nonG7	1. High income: OECD	11380.0	2020-05-06	178.0	11.0	25702.0	1074.0	5000.0
173	630	PRI	Puerto Rico	Puerto Rico	North America	6. Developing region	2. High income: nonOECD	11420.0	2020-05-06	81.0	2.0	1924.0	99.0	100.0
174	634	QAT	Qatar	Qatar	Asia	6. Developing region	2. High income: nonOECD	11544.0	2020-05-06	951.0	0.0	17142.0	12.0	50.0
175	642	ROU	Romania	Romania	Europe	2. Developed region: nonG7	3. Upper middle income	11670.0	2020-05-06	325.0	24.0	13837.0	827.0	1000.0
176	643	RUS	Russia	Russian Federation	Europe	3. Emerging region: BRIC	3. Upper middle income	11798.0	2020-05-06	10102.0	95.0	155370.0	1451.0	5000.0
177	646	RWA	Rwanda	Rwanda	Africa	7. Least developed region	5. Low income	11851.0	2020-05-06	0.0	0.0	261.0	0.0	50.0
178	239	SGS	S. Geo. and S. Sandw. Is.	South Georgia and South Sandwich Islands	Seven seas (open ocean)	7. Least developed region	5. Low income							nan
179	728	SDS	South Sudan	South Sudan	Africa	7. Least developed region	5. Low income	12974.0	2020-05-06	6.0	0.0	52.0	0.0	50.0
180	678	STP	Sao Tome and Principe	São Tomé and Principe	Africa	7. Least developed region	4. Lower middle income	12145.0	2020-05-06	0.0	0.0	174.0	3.0	50.0
181	654	SHN	Saint Helena	Saint Helena	Seven seas (open ocean)	6. Developing region	4. Lower middle income							nan
182	662	LCA	Saint Lucia	Saint Lucia	North America	6. Developing region	3. Upper middle income	11946.0	2020-05-06	0.0	0.0	18.0	0.0	50.0
183	882	WSM	Samoa	Samoa	Oceania	7. Least developed region	4. Lower middle income							nan
184	674	SMR	San Marino	San Marino	Europe	2. Developed region: nonG7	2. High income: nonOECD	12117.0	2020-05-06	7.0	0.0	589.0	41.0	50.0
185	682	SAU	Saudi Arabia	Saudi Arabia	Asia	2. Developed region: nonG7	2. High income: nonOECD	12207.0	2020-05-06	1595.0	9.0	30251.0	200.0	500.0
186	686	SEN	Senegal	Senegal	Africa	7. Least developed region	4. Lower middle income	12265.0	2020-05-06	58.0	1.0	1329.0	11.0	50.0
187	688	SRB	Serbia	Serbia	Europe	6. Developing region	3. Upper middle income	12323.0	2020-05-06	120.0	3.0	9677.0	200.0	500.0
188	690	SYC	Seychelles	Seychelles	Seven seas (open ocean)	6. Developing region	3. Upper middle income	12376.0	2020-05-06	0.0	0.0	11.0	0.0	50.0
189	-99	KAS	Siachen Glacier	Siachen Glacier	Asia	6. Developing region	4. Lower middle income							nan
190	694	SLE	Sierra Leone	Sierra Leone	Africa	7. Least developed region	5. Low income	12412.0	2020-05-06	21.0	2.0	199.0	11.0	50.0
191	702	SGP	Singapore	Singapore	Asia	6. Developing region	2. High income: nonOECD	12540.0	2020-05-06	632.0	0.0	19410.0	18.0	50.0
192	534	SXM	Sint Maarten (Dutch part)	Sint Maarten	North America	6. Developing region	2. High income: nonOECD	12582.0	2020-05-06	0.0	1.0	76.0	14.0	50.0
193	703	SVK	Slovakia	Slovakia	Europe	2. Developed region: nonG7	1. High income: OECD	12642.0	2020-05-06	8.0	0.0	1421.0	25.0	50.0
194	705	SVN	Slovenia	Slovenia	Europe	2. Developed region: nonG7	1. High income: OECD	12704.0	2020-05-06	6.0	1.0	1445.0	98.0	100.0
